lake,sampling_timestamp,sample_timestamp,measurement_value,measurement_value_raw,site_name,station_name,depth,value_sign,unit_symbol,method,laboratory,sampling_number,sample_number,rdl,sample_location,sample_type,aluminum_dissolved,aluminum_total_recoverable,calcium_dissolved,calcium_total,copper_dissolved,copper_total_recoverable,lead_dissolved,lead_total_recoverable,nickel_dissolved,nickel_total_recoverable,nitrogen_total,oxygen_biochemical_demand,ph,phosphorus_total_dissolved,phosphorus_total,turbidity,vanadium_dissolved,vanadium_total_recoverable
gregoire,2015-03-02 12:00:00,2015-03-02 12:00:00,0.45,0.45,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107359,,8E-05,'---,,,,,,0.45,,,,,,,,,,,,,
gregoire,2016-03-10 12:00:00,2016-03-10 12:00:00,0.55,0.55,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112660,,8E-05,'---,,,,,,0.55,,,,,,,,,,,,,
gregoire,2016-07-20 12:00:00,2016-07-20 11:00:00,0.94,0.94,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112405,,8E-05,'---,,,,,,0.94,,,,,,,,,,,,,
gregoire,2016-09-21 12:00:00,2016-09-21 11:00:00,1.2,1.2,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112207,,8E-05,'---,,,,,,1.2,,,,,,,,,,,,,
gregoire,2017-03-15 12:00:00,2017-03-15 11:00:00,0.61,0.61,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),111901,,8E-05,'---,,,,,,0.61,,,,,,,,,,,,,
gregoire,2014-07-10 12:00:00,2014-07-10 11:00:00,1.17,1.17,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107356,,5E-05,'---,,,,,,,1.17,,,,,,,,,,,,
gregoire,2014-09-07 12:00:00,2014-09-07 11:00:00,2.05,2.05,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107362,,5E-05,'---,,,,,,,2.05,,,,,,,,,,,,
gregoire,2015-03-02 12:00:00,2015-03-02 12:00:00,0.68,0.68,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107359,,5E-05,'---,,,,,,,0.68,,,,,,,,,,,,
gregoire,2016-03-10 12:00:00,2016-03-10 12:00:00,0.56,0.56,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112660,,5E-05,'---,,,,,,,0.56,,,,,,,,,,,,
gregoire,2016-07-20 12:00:00,2016-07-20 11:00:00,1.26,1.26,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112405,,5E-05,'---,,,,,,,1.26,,,,,,,,,,,,
gregoire,2016-09-21 12:00:00,2016-09-21 11:00:00,1.22,1.22,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112207,,5E-05,'---,,,,,,,1.22,,,,,,,,,,,,
gregoire,2017-03-15 12:00:00,2017-03-15 11:00:00,0.85,0.85,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),111901,,5E-05,'---,,,,,,,0.85,,,,,,,,,,,,
gregoire,2014-07-10 12:00:00,2014-07-10 11:00:00,0.061,0.061,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107356,,4E-06,'---,,,,,,,,0.061,,,,,,,,,,,
gregoire,2014-09-07 12:00:00,2014-09-07 11:00:00,0.04,0.04,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107362,,4E-06,'---,,,,,,,,0.04,,,,,,,,,,,
gregoire,2015-03-02 12:00:00,2015-03-02 12:00:00,0.011,0.011,GREGOIRE RIVER,(LOWER) APPROX 2KM UPSTREAM CONFLUENCE WITH CHRIST,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107359,,4E-06,'---,,,,,,,,0.011,,,,,,,,,,,
